Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC
Day  ,JD  ,Month  ,State_id  ,Year  ,PRCP (in),TAVE (F),TMAX (F),TMIN (F) 
1,244,9,'417945',1946,0.02,81,92,70 
2,245,9,'417945',1946,0.01,82,90,74 
3,246,9,'417945',1946,0,83,91,74 
4,247,9,'417945',1946,0,80,90,69 
5,248,9,'417945',1946,0,80,90,70 
6,249,9,'417945',1946,0,81,91,70 
7,250,9,'417945',1946,0.03,81,90,71 
8,251,9,'417945',1946,0.23,79,86,72 
9,252,9,'417945',1946,0,83,92,74 
10,253,9,'417945',1946,0,83,92,74 
11,254,9,'417945',1946,0,81,93,69 
12,255,9,'417945',1946,0,83,94,71 
13,256,9,'417945',1946,0,82,91,72 
14,257,9,'417945',1946,0.37,74,80,67 
15,258,9,'417945',1946,4.71,69,73,64 
16,259,9,'417945',1946,0,77,84,69 
17,260,9,'417945',1946,0.15,77,81,72 
18,261,9,'417945',1946,0,77,82,71 
19,262,9,'417945',1946,0,77,83,70 
20,263,9,'417945',1946,0,75,83,67 
21,264,9,'417945',1946,0,79,89,69 
22,265,9,'417945',1946,0,84,94,74 
23,266,9,'417945',1946,0,72,77,66 
24,267,9,'417945',1946,0,75,80,69 
25,268,9,'417945',1946,3.27,77,85,69 
26,269,9,'417945',1946,3.8,77,85,69 
27,270,9,'417945',1946,3.13,78,86,70 
28,271,9,'417945',1946,0,79,86,72 
29,272,9,'417945',1946,0.06,73,78,68 
30,273,9,'417945',1946,0,72,77,66 
1,274,10,'417945',1946,0,67,77,57 
2,275,10,'417945',1946,0,67,80,53 
3,276,10,'417945',1946,0,72,83,60 
4,277,10,'417945',1946,0.17,79,86,72 
5,278,10,'417945',1946,0,77,84,70 
6,279,10,'417945',1946,0,78,85,71 
7,280,10,'417945',1946,0,75,82,67 
8,281,10,'417945',1946,0.42,73,78,67 
9,282,10,'417945',1946,0.01,72,77,67 
10,283,10,'417945',1946,0.02,77,86,68 
11,284,10,'417945',1946,0,58,68,47 
12,285,10,'417945',1946,0,56,71,41 
13,286,10,'417945',1946,0,59,76,42 
14,287,10,'417945',1946,0,65,79,50 
15,288,10,'417945',1946,0.65,69,73,64 
16,289,10,'417945',1946,0.04,74,78,70 
17,290,10,'417945',1946,0,77,84,70 
18,291,10,'417945',1946,0,76,81,70 
19,292,10,'417945',1946,0,77,84,69 
20,293,10,'417945',1946,0,76,83,68 
21,294,10,'417945',1946,0,77,85,68 
22,295,10,'417945',1946,0,77,86,68 
23,296,10,'417945',1946,0,78,86,70 
24,297,10,'417945',1946,0,79,86,71 
25,298,10,'417945',1946,0,67,79,55 
26,299,10,'417945',1946,0,66,82,50 
27,300,10,'417945',1946,0,74,84,64 
28,301,10,'417945',1946,0,74,83,65 
29,302,10,'417945',1946,0,77,86,67 
30,303,10,'417945',1946,0,79,86,71 
31,304,10,'417945',1946,0,79,86,72 
1,305,11,'417945',1946,0,78,84,72 
2,306,11,'417945',1946,0.08,76,80,72 
3,307,11,'417945',1946,1.07,71,82,60 
4,308,11,'417945',1946,0,62,66,58 
5,309,11,'417945',1946,0.02,56,58,53 
6,310,11,'417945',1946,0.09,58,68,47 
7,311,11,'417945',1946,0,61,78,44 
8,312,11,'417945',1946,0.01,59,71,46 
9,313,11,'417945',1946,0.24,74,85,62 
10,314,11,'417945',1946,0,58,65,51 
11,315,11,'417945',1946,0,55,65,45 
12,316,11,'417945',1946,0,54,58,49 
13,317,11,'417945',1946,0,58,66,49 
14,318,11,'417945',1946,0,60,72,47 
15,319,11,'417945',1946,0.01,67,73,61 
16,320,11,'417945',1946,0.33,60,68,51 
17,321,11,'417945',1946,0,49,54,43 
18,322,11,'417945',1946,0,49,54,44 
19,323,11,'417945',1946,0,54,69,39 
20,324,11,'417945',1946,0,58,74,42 
21,325,11,'417945',1946,0,66,80,51 
22,326,11,'417945',1946,0,59,66,51 
23,327,11,'417945',1946,0,65,73,57 
24,328,11,'417945',1946,0,69,77,61 
25,329,11,'417945',1946,0,60,75,44 
26,330,11,'417945',1946,0.01,52,61,43 
27,331,11,'417945',1946,0,53,63,43 
28,332,11,'417945',1946,0,55,70,39 
29,333,11,'417945',1946,0,60,73,46 
30,334,11,'417945',1946,0,64,76,52 
1,335,12,'417945',1946,0,57,62,51 
2,336,12,'417945',1946,0,50,61,39 
3,337,12,'417945',1946,0,53,70,35 
4,338,12,'417945',1946,0,55,71,38 
5,339,12,'417945',1946,0,55,72,37 
6,340,12,'417945',1946,0,59,76,41 
7,341,12,'417945',1946,0,66,76,55 
8,342,12,'417945',1946,0,68,76,60 
9,343,12,'417945',1946,0,72,77,66 
10,344,12,'417945',1946,0.61,65,68,61 
11,345,12,'417945',1946,0.99,61,67,54 
12,346,12,'417945',1946,0,60,75,45 
13,347,12,'417945',1946,0,60,73,47 
14,348,12,'417945',1946,0,59,70,48 
15,349,12,'417945',1946,0,59,68,50 
16,350,12,'417945',1946,0.01,62,74,50 
17,351,12,'417945',1946,0,51,60,42 
18,352,12,'417945',1946,0,44,50,38 
19,353,12,'417945',1946,0.03,44,46,41 
20,354,12,'417945',1946,0,50,61,39 
21,355,12,'417945',1946,0,54,69,38 
22,356,12,'417945',1946,0,50,67,33 
23,357,12,'417945',1946,0,57,73,40 
24,358,12,'417945',1946,0,60,77,42 
25,359,12,'417945',1946,0,59,73,45 
26,360,12,'417945',1946,0,58,72,43 
27,361,12,'417945',1946,0,70,80,60 
28,362,12,'417945',1946,0,69,80,57 
29,363,12,'417945',1946,0,49,66,31 
30,364,12,'417945',1946,0,33,39,26 
31,365,12,'417945',1946,0.79,30,33,26 
1,1,1,'417945',1947,0.34,29,32,26 
2,2,1,'417945',1947,0,37,44,29 
3,3,1,'417945',1947,0,26,32,19 
4,4,1,'417945',1947,0,25,30,19 
5,5,1,'417945',1947,0,34,45,22 
6,6,1,'417945',1947,0,40,45,34 
7,7,1,'417945',1947,0.01,47,55,39 
8,8,1,'417945',1947,0.36,48,52,44 
9,9,1,'417945',1947,0.37,44,45,42 
10,10,1,'417945',1947,0.04,44,46,42 
11,11,1,'417945',1947,0,47,56,37 
12,12,1,'417945',1947,0,55,73,36 
13,13,1,'417945',1947,0,58,63,53 
14,14,1,'417945',1947,0,60,70,50 
15,15,1,'417945',1947,0.01,59,68,49 
16,16,1,'417945',1947,0.2,51,65,37 
17,17,1,'417945',1947,0.63,39,42,35 
18,18,1,'417945',1947,0.11,40,42,37 
19,19,1,'417945',1947,0.07,48,56,39 
20,20,1,'417945',1947,0,52,65,38 
21,21,1,'417945',1947,0,45,56,33 
22,22,1,'417945',1947,0,44,58,30 
23,23,1,'417945',1947,0,58,65,51 
24,24,1,'417945',1947,0,62,73,50 
25,25,1,'417945',1947,0,58,76,39 
26,26,1,'417945',1947,0,62,79,44 
27,27,1,'417945',1947,0,62,83,40 
28,28,1,'417945',1947,0,60,72,47 
29,29,1,'417945',1947,0,71,82,60 
30,30,1,'417945',1947,0,55,66,44 
31,31,1,'417945',1947,0,52,67,36 
1,32,2,'417945',1947,0,47,59,35 
2,33,2,'417945',1947,0,50,63,36 
3,34,2,'417945',1947,0,54,71,37 
4,35,2,'417945',1947,0,44,58,30 
5,36,2,'417945',1947,0,41,56,25 
6,37,2,'417945',1947,0,54,75,33 
7,38,2,'417945',1947,0,52,71,33 
8,39,2,'417945',1947,0,41,50,31 
9,40,2,'417945',1947,0,40,49,30 
10,41,2,'417945',1947,0,38,47,28 
11,42,2,'417945',1947,0.03,44,49,39 
12,43,2,'417945',1947,0,50,62,38 
13,44,2,'417945',1947,0,46,60,32 
14,45,2,'417945',1947,0,53,72,34 
15,46,2,'417945',1947,0,57,76,38 
16,47,2,'417945',1947,0,57,79,35 
17,48,2,'417945',1947,0,60,81,39 
18,49,2,'417945',1947,0,65,72,57 
19,50,2,'417945',1947,0,52,62,41 
20,51,2,'417945',1947,0,47,54,40 
21,52,2,'417945',1947,0,51,62,40 
22,53,2,'417945',1947,0,53,71,35 
23,54,2,'417945',1947,0,54,70,37 
24,55,2,'417945',1947,0,41,53,28 
25,56,2,'417945',1947,0,40,42,38 
26,57,2,'417945',1947,0,43,46,39 
27,58,2,'417945',1947,0.23,38,42,34 
28,59,2,'417945',1947,0.03,53,69,36 
